game_id,season_id,competition_id,competition_stage,game_day,game_date,home_team_id,away_team_id,home_score,away_score,venue,referee,match_id,home_team,away_team
3869152,106,43,Round of 16,4,2022-12-04 17:00:00,771,789,3,1,Al Thumama Stadium,Jesús Valenzuela Sáez,3869152,France,Poland
3869117,106,43,Round of 16,4,2022-12-03 17:00:00,941,1839,3,1,Sheikh Khalifa International Stadium,Wilton Pereira Sampaio,3869117,Netherlands,United States
3857270,106,43,Group Stage,2,2022-11-28 19:00:00,780,783,2,0,Lusail Stadium,Alireza Faghani,3857270,Portugal,Uruguay
3857263,106,43,Group Stage,2,2022-11-27 19:00:00,772,770,1,1,Al Bayt Stadium,Danny Desmond Makkelie,3857263,Spain,Germany
3857259,106,43,Group Stage,2,2022-11-28 10:00:00,2722,786,3,3,Al Janoub Stadium   ,Mohamed Abdulla Hassan Mohd,3857259,Cameroon,Serbia
3857283,106,43,Group Stage,2,2022-11-27 13:00:00,782,788,0,2,Al Thumama Stadium,César Arturo Ramos Palazuelos,3857283,Belgium,Morocco
3857286,106,43,Group Stage,1,2022-11-20 16:00:00,3566,3565,0,2,Al Bayt Stadium,Daniele Orsato,3857286,Qatar,Ecuador
3857300,106,43,Group Stage,1,2022-11-22 10:00:00,779,799,1,2,Lusail Stadium,Slavko Vinčić,3857300,Argentina,Saudi Arabia
3857299,106,43,Group Stage,2,2022-11-28 13:00:00,791,4885,2,3,Education City Stadium ,Anthony Taylor,3857299,South Korea,Ghana
3857293,106,43,Group Stage,3,2022-12-02 15:00:00,4885,783,0,2,Al Janoub Stadium   ,Daniel Siebert,3857293,Ghana,Uruguay
3857291,106,43,Group Stage,1,2022-11-23 16:00:00,772,795,7,0,Al Thumama Stadium,,3857291,Spain,Costa Rica
3857281,106,43,Group Stage,2,2022-11-27 16:00:00,785,1833,4,1,Sheikh Khalifa International Stadium,Andrés Matonte,3857281,Croatia,Canada
3857280,106,43,Group Stage,3,2022-12-02 19:00:00,2722,781,1,0,Lusail Stadium,Ismail Elfath,3857280,Cameroon,Brazil
3857279,106,43,Group Stage,1,2022-11-22 19:00:00,771,792,4,1,Al Janoub Stadium   ,Victor Miguel de Freitas Gomes,3857279,France,Australia
3857262,106,43,Group Stage,3,2022-12-02 15:00:00,791,780,2,1,Education City Stadium ,Facundo Tello Figueroa,3857262,South Korea,Portugal
